permno,date,month,ret,shrout,altprc,exchcd,siccd,mktcap,mktcap_lag,exchange,industry,ret_excess,gvkey,month:1,dp,dy,ep,de,svar,bm,ntis,tbl,lty,ltr,tms,dfy,infl,month:2,mkt_excess,smb,hml,rf
10028,1996-07-31T00:00:00,1996-07-01T00:00:00,-0.0869565233588219,5821000.0,-1.3125,2,5094,7.6400625,8.3676875,AMEX,Wholesale,-0.0914565233588219,012096,1996-07-01T00:00:00,-3.79393270130785,0.00908770634632061,-2.89826374449532,-0.895668956812532,0.0023551484,0.2418198938,0.0311368642,0.0515,0.0707,0.0018,0.0192,0.00700000000000001,0.0019144863,1996-07-01T00:00:00,-0.0597,-0.0431,0.0514,0.0045
10028,1996-08-30T00:00:00,1996-08-01T00:00:00,-0.16666667163372,5821000.0,-1.09375,2,5094,6.36671875,7.6400625,AMEX,Wholesale,-0.17076667163372,012096,1996-08-01T00:00:00,-3.8035591336593,0.00901274373247007,-2.90665321866266,-0.896905914996635,0.0011215207,0.2380611179,0.0308861056,0.0505,0.0726,-0.0139,0.0221,0.0072,0.001910828,1996-08-01T00:00:00,0.0277,0.0244,-0.0074,0.0041
10028,1996-09-30T00:00:00,1996-09-01T00:00:00,0.0857142880558968,5821000.0,1.1875,2,5094,6.9124375,6.36671875,AMEX,Wholesale,0.0813142880558968,012096,1996-09-01T00:00:00,-3.84738991717149,0.00892541981098161,-2.94926648925279,-0.898123427918706,0.000686243,0.2272973181,0.0295807368,0.0509,0.0704,0.029,0.0195,0.0069,0.0031786395,1996-09-01T00:00:00,0.0501,-0.0098,-0.0272,0.0044
10028,1996-10-31T00:00:00,1996-10-01T00:00:00,-0.157894730567932,5796000.0,1.0,2,5094,5.796,6.9124375,AMEX,Wholesale,-0.162094730567932,012096,1996-10-01T00:00:00,-3.86785979563765,0.00532540204298471,-2.95009819117613,-0.917761604461519,0.000606645,0.2217476558,0.0256558088,0.0499,0.0671,0.0404,0.0172,0.0068,0.0031685678,1996-10-01T00:00:00,0.0086,-0.0444,0.0494,0.0042
10028,1996-11-29T00:00:00,1996-11-01T00:00:00,0.125,5796000.0,1.125,2,5094,6.5205,5.796,AMEX,Wholesale,0.1209,012096,1996-11-01T00:00:00,-3.93336482094694,0.00530393964037357,-2.99655160993739,-0.93681321100955,0.0007037354,0.2050079191,0.0220673413,0.0503,0.0643,0.0351,0.014,0.0069,0.0018951358,1996-11-01T00:00:00,0.0625,-0.0402,0.0139,0.0041
10028,1996-12-31T00:00:00,1996-12-01T00:00:00,-0.0555555559694767,5796000.0,1.0625,2,5094,6.15825,6.5205,AMEX,Wholesale,-0.0601555559694767,012096,1996-12-01T00:00:00,-3.9063555899261,0.00526924438443999,-2.95103519300464,-0.955320396921459,0.0017090846,0.2073427297,0.0241256867,0.0491,0.0673,-0.0256,0.0182,0.0069,0.0,1996-12-01T00:00:00,-0.017,0.0316,0.0131,0.0046
10028,1997-01-31T00:00:00,1997-01-01T00:00:00,0.294117659330368,5796000.0,1.375,2,5094,7.9695,6.15825,AMEX,Wholesale,0.289617659330368,012096,1997-01-01T00:00:00,-3.96229519989674,0.00357103755223376,-2.99763445807408,-0.964660741822652,0.0013600822,0.1962401029,0.0244069327,0.0503,0.0689,-0.0079,0.0186,0.0067,0.0031525851,1997-01-01T00:00:00,0.0499,-0.0195,-0.0142,0.0045
10028,1997-02-28T00:00:00,1997-02-01T00:00:00,0.0,5796000.0,1.375,2,5094,7.9695,7.9695,AMEX,Wholesale,-0.0039,012096,1997-02-01T00:00:00,-3.96464025290087,0.00356499476305983,-2.99079518790412,-0.973845064996754,0.0014747914,0.1943954108,0.0229109266,0.0501,0.0694,0.0005,0.0193,0.0063,0.0031426776,1997-02-01T00:00:00,-0.0049,-0.0322,0.0567,0.0039
10028,1997-03-31T00:00:00,1997-03-01T00:00:00,-0.0454545468091965,4420000.0,-1.3125,2,5094,5.80125,7.9695,AMEX,Wholesale,-0.0497545468091965,012096,1997-03-01T00:00:00,-3.91754594224528,0.00354569018418704,-2.93466023555848,-0.982885706686801,0.0020014615,0.2147802023,0.0211485434,0.0514,0.0723,-0.0252,0.0209,0.0063,0.0025062657,1997-03-01T00:00:00,-0.0503,-0.0036,0.0339,0.0043
10028,1997-04-30T00:00:00,1997-04-01T00:00:00,-0.0476190485060215,4420000.0,1.25,2,5094,5.525,5.80125,AMEX,Wholesale,-0.0519190485060215,012096,1997-04-01T00:00:00,-3.97205426624265,0.00225524107260844,-2.9888599925793,-0.983194273663343,0.003005081,0.2017410478,0.0169452901,0.0516,0.0705,0.0255,0.0189,0.00610000000000001,0.00125,1997-04-01T00:00:00,0.0404,-0.0577,0.0007,0.0043
10028,1997-05-30T00:00:00,1997-05-01T00:00:00,0.300000011920929,4420000.0,1.625,2,5094,7.1825,5.525,AMEX,Wholesale,0.295100011920929,012096,1997-05-01T00:00:00,-4.0267295433908,0.0022501664027712,-3.04322571199462,-0.983503831396182,0.0020074558,0.1928785879,0.0132644502,0.0505,0.0701,0.0097,0.0196,0.0062,-0.0006242197,1997-05-01T00:00:00,0.0674,0.0519,-0.0413,0.0049
