Date,Mkt-RF,SMB,HML,RMW,CMA,MMOM,PEAD,FIN,QMJ,BAB,MGMT,PERF,MKTRF,SMB*,IA,ROE,MKT,ME,LIQ,IFCR,CON
198502,0.0122,0.01,-0.0012,0.0126,0.0103,0.0181,0.002239321,0.017207224,0.017946106,0.047946386,0.026927645,0.015878997,0.0122,0.008325553,0.010537,0.015482,0.010863,0.007725,0.0251,-0.0047,-0.002259194
198503,-0.0084,-0.0148,0.041,0.0118,0.0294,0.0168,-0.003640092,0.060250843,-0.001645835,0.033160197,0.043523767,-0.009169049,-0.0084,-0.017513794,0.033165,0.009336,-0.007907,-0.020275,0.0403,-0.0068,-0.006336599
198504,-0.0096,-0.001,0.0373,0.0159,0.0071,0.0304,0.008273949,0.039356537,0.004843847,0.033191734,0.034086384,-0.012671277,-0.0096,0.003975287,0.014244,0.001376,-0.009751,-0.006679,0.0382,0.0258,-0.006582051
198505,0.0509,-0.0233,-0.0086,0.013,-0.0139,0.0396,0.001345002,0.005170607,0.004624686,0.015493878,0.005496258,0.020870263,0.0509,-0.017004202,-0.012358,0.032271,0.049713,-0.015701,-0.0076,0.0644,-0.004187102
198506,0.0127,0.0048,0.007,0.015,-0.0059,0.0362,0.013541767,0.009092364,0.006457919,0.029469958,0.002564749,0.019604873,0.0127,-0.001962866,-0.001994,0.028923,0.011545,-0.005461,0.0071,0.0272,0.012451355
198507,-0.0074,0.0289,-0.0163,-0.0045,-0.0031,-0.0391,-0.004134898,-0.005005716,0.010190728,-0.004758572,0.006750298,0.000630506,-0.0074,0.033893226,-0.008239,-0.020118,-0.006447,0.024552,-0.0178,-0.0392,-0.029754327
198508,-0.0102,-0.0032,0.0228,-0.0004,0.0188,0.018,0.002029009,0.026981811,0.000908086,0.008296778,0.029112849,0.000550264,-0.0102,0.010092093,0.020995,0.00431,-0.010587,-0.001826,0.0269,-0.0411,-0.00443408
198509,-0.0454,-0.0181,0.0132,0.0116,0.0161,0.0149,0.013818714,0.057119062,0.031087553,0.004788713,0.050389514,0.022747458,-0.0454,-0.005549517,0.01983,0.011991,-0.045874,-0.018163,0.0108,-0.0753,0.011574815
198510,0.0402,-0.0155,0.0078,0.0092,-0.0111,0.0487,0.005126262,0.018029638,0.004370105,0.022230794,0.002709559,0.003141372,0.0402,-0.017524233,0.002611,0.022243,0.03842,-0.001863,0.0516,0.1089,0.011854823
198511,0.0648,0,-0.0287,0.0029,-0.0233,-0.0041,-0.014760554,-0.015019963,0.018949603,0.023935101,-0.023711712,0.022130772,0.0648,0.010639426,-0.016459,0.017987,0.063072,-0.002564,0.007,0.0745,0.020796238
